Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,15631.700195,16030.330078,15492.580078,15835.089844,15835.089844,1034321500
2021-09-01,15958.410156,15981.700195,15019.490234,15260.690430,15260.690430,1337021100
2021-10-01,15041.599609,15781.000000,14818.709961,15688.769531,15688.769531,1349471100
2021-11-01,15764.549805,16290.190430,15015.419922,15100.129883,15100.129883,1635891100
2021-12-01,15233.370117,15974.790039,15060.099609,15884.860352,15884.860352,1354128600
2022-01-01,15947.440430,16285.349609,14952.669922,15471.200195,15471.200195,1662241200
2022-02-01,15620.559570,15736.519531,13807.280273,14461.019531,14461.019531,1996573700
2022-03-01,14404.219727,14925.250000,12438.849609,14414.750000,14414.750000,2772366100
2022-04-01,14447.780273,14603.440430,13566.200195,14097.879883,14097.879883,1651641200
2022-05-01,13996.820313,14589.450195,13380.669922,14388.349609,14388.349609,1803058400
2022-06-01,14478.370117,14709.379883,12618.679688,12783.769531,12783.769531,1720357100
2022-07-01,12627.660156,13019.129883,12390.950195,12864.719727,12864.719727,790344000
2022-07-18,12935.049805,13062.230469,12913.690430,12959.809570,12959.809570,0
