Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,15420.139648,15681.410156,15048.559570,15669.290039,15669.290039,316322500
2021-07-26,15586.660156,15659.219727,15423.559570,15544.389648,15544.389648,252197700
2021-08-02,15631.700195,15808.240234,15492.580078,15761.450195,15761.450195,272429600
2021-08-09,15773.509766,16030.330078,15699.269531,15977.440430,15977.440430,219121600
2021-08-16,15875.700195,15969.849609,15621.980469,15808.040039,15808.040039,250473300
2021-08-23,15930.719727,15932.620117,15701.849609,15851.750000,15851.750000,189976300
2021-08-30,15856.709961,16006.759766,15690.019531,15781.200195,15781.200195,233845100
2021-09-06,15818.440430,15959.740234,15453.959961,15609.809570,15609.809570,249745200
2021-09-13,15681.169922,15791.900391,15455.540039,15490.169922,15490.169922,373583900
2021-09-20,15259.500000,15695.650391,15019.490234,15531.750000,15531.750000,316989800
2021-09-27,15699.009766,15704.049805,14983.799805,15156.440430,15156.440430,331207400
2021-10-04,15061.860352,15267.919922,14818.709961,15206.129883,15206.129883,345236900
2021-10-11,15115.459961,15598.580078,15012.070313,15587.360352,15587.360352,339596300
2021-10-18,15518.589844,15614.759766,15406.589844,15542.980469,15542.980469,258379600
2021-10-25,15580.580078,15781.000000,15495.509766,15688.769531,15688.769531,340228700
2021-11-01,15764.549805,16084.900391,15760.349609,16054.360352,16054.360352,335662200
2021-11-08,16040.849609,16122.759766,15985.900391,16094.070313,16094.070313,289385100
2021-11-15,16109.410156,16290.190430,16072.290039,16159.969727,16159.969727,327595300
2021-11-22,16188.540039,16202.769531,15244.459961,15257.040039,15257.040039,434944200
2021-11-29,15418.280273,15509.459961,15015.419922,15169.980469,15169.980469,508697600
2021-12-06,15323.200195,15834.040039,15150.540039,15623.309570,15623.309570,352546100
2021-12-13,15653.570313,15794.309570,15419.549805,15531.690430,15531.690430,402139100
2021-12-20,15152.559570,15768.450195,15060.099609,15756.309570,15756.309570,208699000
2021-12-27,15705.530273,15974.790039,15697.440430,15884.860352,15884.860352,130351100
2022-01-03,15947.440430,16285.349609,15862.709961,15947.740234,15947.740234,350523700
2022-01-10,16006.440430,16090.290039,15724.230469,15883.240234,15883.240234,380247200
2022-01-17,15948.900391,15962.700195,15456.870117,15603.879883,15603.879883,360937200
2022-01-24,15499.610352,15587.389648,14952.669922,15318.950195,15318.950195,482227500
2022-01-31,15506.790039,15736.519531,15060.480469,15099.559570,15099.559570,428304700
2022-02-07,15220.080078,15614.469727,15076.889648,15425.120117,15425.120117,432171200
2022-02-14,15065.730469,15542.839844,14844.099609,15042.509766,15042.509766,400760900
2022-02-21,15186.629883,15192.469727,13807.280273,14567.230469,14567.230469,662793800
2022-02-28,14263.730469,14510.769531,13094.540039,13094.540039,13094.540039,762399400
2022-03-07,12614.080078,13943.969727,12438.849609,13628.110352,13628.110352,822858200
2022-03-14,13827.219727,14553.099609,13577.809570,14413.089844,14413.089844,636906500
2022-03-21,14385.820313,14539.309570,14187.820313,14305.759766,14305.759766,376102400
2022-03-28,14376.000000,14925.250000,14371.900391,14446.480469,14446.480469,407425900
2022-04-04,14503.959961,14603.440430,14027.179688,14283.669922,14283.669922,411834000
2022-04-11,14162.969727,14298.019531,13887.110352,14163.849609,14163.849609,342479700
2022-04-18,14057.429688,14598.110352,13991.700195,14142.089844,14142.089844,306908000
2022-04-25,13908.049805,14187.019531,13566.200195,14097.879883,14097.879883,517941900
2022-05-02,13996.820313,14315.240234,13592.150391,13674.290039,13674.290039,426657800
2022-05-09,13624.919922,14034.150391,13380.669922,14027.929688,14027.929688,476800400
2022-05-16,13986.169922,14226.469727,13683.589844,13981.910156,13981.910156,373844500
2022-05-23,14179.839844,14463.500000,13871.480469,14462.190430,14462.190430,324318500
2022-05-30,14572.799805,14589.910156,14329.509766,14460.089844,14460.089844,365891200
2022-06-06,14576.870117,14709.379883,13749.769531,13761.830078,13761.830078,306028900
2022-06-13,13564.469727,13648.839844,13007.910156,13126.259766,13126.259766,544720700
2022-06-20,13207.790039,13443.769531,12904.860352,13118.129883,13118.129883,390462200
2022-06-27,13217.900391,13378.419922,12618.679688,12813.030273,12813.030273,394977200
2022-07-04,12904.089844,13019.129883,12390.950195,13015.230469,13015.230469,376256900
2022-07-11,12783.089844,12934.870117,12434.290039,12864.719727,12864.719727,333801200
2022-07-18,12935.049805,13062.230469,12913.690430,12959.809570,12959.809570,0
