Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,14235.980469,14846.059570,14178.660156,14836.990234,14836.990234,20735140000
2021-07-26,14821.030273,14863.650391,14503.759766,14672.679688,14672.679688,20478690000
2021-08-02,14758.599609,14896.469727,14584.089844,14835.759766,14835.759766,20421490000
2021-08-09,14855.759766,14894.610352,14692.410156,14822.900391,14822.900391,20113470000
2021-08-16,14771.530273,14794.679688,14423.160156,14714.660156,14714.660156,19956800000
2021-08-23,14776.980469,15144.480469,14776.980469,15129.500000,15129.500000,18934130000
2021-08-30,15165.940430,15380.070313,15165.120117,15363.519531,15363.519531,20162600000
2021-09-06,15375.980469,15403.440430,15111.309570,15115.490234,15115.490234,16645800000
2021-09-13,15211.429688,15215.440430,14984.679688,15043.969727,15043.969727,24083760000
2021-09-20,14758.139648,15085.440430,14530.070313,15047.700195,15047.700195,21295500000
2021-09-27,14954.179688,15003.160156,14324.009766,14566.700195,14566.700195,25418990000
2021-10-04,14493.120117,14755.719727,14181.690430,14579.540039,14579.540039,20620440000
2021-10-11,14540.080078,14904.980469,14441.599609,14897.339844,14897.339844,20306150000
2021-10-18,14839.740234,15222.250000,14833.280273,15090.200195,15090.200195,23272280000
2021-10-25,15142.919922,15504.120117,15070.750000,15498.389648,15498.389648,29766610000
2021-11-01,15541.259766,16053.389648,15470.820313,15971.589844,15971.589844,26419010000
2021-11-08,15995.719727,16038.230469,15543.679688,15860.959961,15860.959961,26421560000
2021-11-15,15894.820313,16121.120117,15778.309570,16057.440430,16057.440430,25654580000
2021-11-22,16120.919922,16212.230469,15456.089844,15491.660156,15491.660156,18624340000
2021-11-29,15719.419922,15833.110352,14931.059570,15085.469727,15085.469727,28925590000
2021-12-06,15117.629883,15796.049805,14931.610352,15630.599609,15630.599609,23667670000
2021-12-13,15621.269531,15637.059570,14960.370117,15169.679688,15169.679688,27177270000
2021-12-20,14933.000000,15697.980469,14860.040039,15653.370117,15653.370117,17122080000
2021-12-27,15696.830078,15901.469727,15643.940430,15644.969727,15644.969727,18160800000
2022-01-03,15732.500000,15852.139648,14877.629883,14935.900391,14935.900391,23537400000
2022-01-10,14751.780273,15319.030273,14530.230469,14893.750000,14893.750000,22631920000
2022-01-17,14681.830078,14740.540039,13764.240234,13768.919922,13768.919922,20592260000
2022-01-24,13481.500000,14002.650391,13094.650391,13770.570313,13770.570313,27810350000
2022-01-31,13812.190430,14504.820313,13767.709961,14098.009766,14098.009766,22820160000
2022-02-07,14118.790039,14509.559570,13733.160156,13791.150391,13791.150391,23657020000
2022-02-14,13768.969727,14163.730469,13465.559570,13548.070313,13548.070313,21653480000
2022-02-21,13424.360352,13696.860352,12587.879883,13694.620117,13694.620117,20190530000
2022-02-28,13570.830078,13837.589844,13224.980469,13313.440430,13313.440430,27596320000
2022-03-07,13328.360352,13353.280273,12670.080078,12843.809570,12843.809570,28456780000
2022-03-14,12795.120117,13899.280273,12555.349609,13893.839844,13893.839844,31451040000
2022-03-21,13860.389648,14218.759766,13682.549805,14169.299805,14169.299805,26631940000
2022-03-28,14177.209961,14646.900391,14101.339844,14261.500000,14261.500000,26969050000
2022-04-04,14304.349609,14534.379883,13689.230469,13711.000000,13711.000000,23948620000
2022-04-11,13547.290039,13685.950195,13317.740234,13351.080078,13351.080078,19393150000
2022-04-18,13319.389648,13710.700195,12828.019531,12839.290039,12839.290039,23180770000
2022-04-25,12749.169922,13011.450195,12315.740234,12334.639648,12334.639648,24487710000
2022-05-02,12331.690430,12985.009766,11990.150391,12144.660156,12144.660156,25467710000
2022-05-09,11923.030273,11990.610352,11108.759766,11805.000000,11805.000000,30747340000
2022-05-16,11727.139648,11988.429688,11035.690430,11354.620117,11354.620117,25560860000
2022-05-23,11396.280273,12131.660156,11092.480469,12131.129883,12131.129883,23142860000
2022-05-30,12137.540039,12320.120117,11901.429688,12012.730469,12012.730469,19266870000
2022-06-06,12200.330078,12245.400391,11328.269531,11340.019531,11340.019531,24215310000
2022-06-13,10986.849609,11244.259766,10565.139648,10798.349609,10798.349609,29151970000
2022-06-20,10974.049805,11613.230469,10938.059570,11607.620117,11607.620117,25093570000
2022-06-27,11661.019531,11677.490234,10850.009766,11127.849609,11127.849609,26490430000
2022-07-04,10964.179688,11689.700195,10911.450195,11635.309570,11635.309570,19011360000
2022-07-11,11524.490234,11541.099609,11005.929688,11452.419922,11452.419922,21822890000
2022-07-18,11561.637695,11629.032227,11507.303711,11507.303711,11507.303711,2794831000
